Tanggal,Range_Start,Range_End,Jumlah_Prima,Waktu_Serial,Waktu_Paralel,Jumlah_Worker,Speedup,Efficiency
2026-06-05 17:22:31,1,100000,9592,0.122864,1.163634,2,0.11,5.28
2026-06-05 17:22:32,1,100000,9592,0.138832,1.349876,4,0.10,2.57
2026-06-05 17:22:34,1,100000,9592,0.117581,1.859785,8,0.06,0.79
2026-06-05 17:22:38,1,500000,41538,1.103293,1.866326,2,0.59,29.56
2026-06-05 17:22:42,1,500000,41538,1.045628,1.882896,4,0.56,13.88
2026-06-05 17:22:48,1,500000,41538,0.996266,3.260184,8,0.31,3.82
2026-06-05 17:23:05,1,1000000,78498,7.275887,3.674896,2,1.98,98.99
2026-06-05 17:23:23,1,1000000,78498,9.873194,2.937984,4,3.36,84.01
2026-06-05 17:23:40,1,1000000,78498,7.529130,2.584662,8,2.91,36.41
